movie_name,quote,ranking,score,score_num
肖申克的救赎,希望让人自由。,1,9.7,1642651
霸王别姬,风华绝代。,2,9.6,1213558
阿甘正传,一部美国近现代史。,3,9.5,1272811
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,4,9.4,1466194
美丽人生,最美的谎言。,5,9.5,743942
泰坦尼克号,失去的才是永恒的。 ,6,9.4,1212475
千与千寻,最好的宫崎骏，最好的久石让。 ,7,9.3,1302621
辛德勒的名单,拯救一个人，就是拯救整个世界。,8,9.5,657027
盗梦空间,诺兰给了我们一场无法盗取的梦。,9,9.3,1248826
忠犬八公的故事,永远都不能忘记你所爱的人。,10,9.3,842587
机器人总动员,小瓦力，大人生。,11,9.3,827778
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,12,9.2,1132210
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,13,9.3,789740
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,14,9.2,883033
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,15,9.2,912624
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,16,9.3,902519
大话西游之大圣娶亲,一生所爱。,17,9.2,884269
龙猫,人人心中都有个龙猫，童年就永远不会消失。,18,9.2,773121
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,19,9.3,527028
教父,千万不要记恨你的对手，这样会让你失去理智。,20,9.3,562879
无间道,香港电影史上永不过时的杰作。,21,9.2,725700
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,22,9.2,1027300
当幸福来敲门,平民励志片。 ,23,9.1,916405
怦然心动,真正的幸福是来自内心深处。,24,9.0,1030476
触不可及,满满温情的高雅喜剧。,25,9.2,597799
蝙蝠侠：黑暗骑士,无尽的黑暗。,26,9.2,597794
活着,张艺谋最好的电影。,27,9.2,468546
乱世佳人,Tomorrow is another day.,28,9.3,410756
控方证人,比利·怀德满分作品。,29,9.6,215314
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,30,9.0,889424
摔跤吧！爸爸,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,31,9.0,903392
指环王3：王者无敌,史诗的终章。,32,9.2,450573
鬼子来了,对敌人的仁慈，就是对自己残忍。,33,9.2,379132
天空之城,对天空的追逐，永不停止。 ,34,9.1,526331
飞屋环游记,最后那些最无聊的事情，才是最值得怀念的。 ,35,9.0,811726
十二怒汉,1957年的理想主义。 ,36,9.4,269871
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,37,9.2,428711
大话西游之月光宝盒,旷古烁今。,38,9.0,714315
哈尔的移动城堡,带着心爱的人在天空飞翔。,39,9.0,594975
寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,40,9.0,861464
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,41,9.2,384491
罗马假日,爱情哪怕只有一天。,42,9.0,601655
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,43,9.0,561557
闻香识女人,史上最美的探戈。,44,9.0,516131
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,45,9.2,346377
辩护人,电影的现实意义大过电影本身。,46,9.2,359691
窃听风暴,别样人生。,47,9.1,353939
死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,48,9.1,431067
何以为家,凝视卑弱生命，用电影改变命运。,49,9.1,411949
两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,50,9.1,381381
指环王2：双塔奇兵,承前启后的史诗篇章。,51,9.0,419135
飞越疯人院,自由万岁。,52,9.1,385569
教父2,优雅的孤独。,53,9.2,305896
狮子王,动物版《哈姆雷特》。,54,9.0,464448
指环王1：魔戒再现,传说的开始。,55,9.0,470809
V字仇杀队,一张面具背后的理想与革命。,56,8.9,661716
美丽心灵,爱是一切逻辑和原由。,57,9.0,461974
饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,58,9.1,328542
大闹天宫,经典之作，历久弥新。,59,9.3,204999
哈利·波特与魔法石,童话世界的开端。,60,8.9,500410
海豚湾,海豚的微笑，是世界上最高明的伪装。,61,9.3,254110
钢琴家,音乐能化解仇恨。,62,9.1,306452
情书,暗恋的极致。,63,8.9,565044
本杰明·巴顿奇事,在时间之河里感受溺水之苦。,64,8.9,603475
黑客帝国,视觉革命。,65,8.9,457600
看不见的客人,你以为你以为的就是你以为的。,66,8.8,673289
西西里的美丽传说,美丽无罪。,67,8.8,581019
小鞋子,奔跑的孩子是天使。,68,9.2,230852
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,69,8.8,981195
拯救大兵瑞恩,美利坚精神输出大片No1.,70,9.0,387106
美国往事,往事如烟，无处祭奠。,71,9.2,258318
猫鼠游戏,骗子大师和执著警探的你追我跑故事。 ,72,8.9,435678
音乐之声,用音乐化解仇恨，让歌声串起美好。,73,9.0,358648
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,74,8.8,518659
七宗罪,警察抓小偷，老鼠玩死猫。,75,8.8,614874
低俗小说,故事的高级讲法。,76,8.8,516265
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,77,8.9,464922
穿条纹睡衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,78,9.1,276567
沉默的羔羊,安东尼·霍普金斯的顶级表演。,79,8.8,517163
蝴蝶效应,人的命运被自己瞬间的抉择改变。,80,8.8,570987
春光乍泄,爱情纠缠，男女一致。,81,8.9,384680
我不是药神,对我们国家而言，这样的电影多一部是一部。,82,9.0,1248208
勇敢的心,史诗大片的典范。,83,8.9,399530
心灵捕手,人生中应该拥有这样的一段豁然开朗。,84,8.9,420867
天使爱美丽,法式小清新。 ,85,8.7,679509
剪刀手爱德华,浪漫忧郁的成人童话。,86,8.7,700785
禁闭岛,昔日翩翩少年，今日大腹便便。,87,8.8,562378
布达佩斯大饭店,小清新的故事里注入了大历史的情怀。,88,8.8,525432
阿凡达,绝对意义上的美轮美奂。,89,8.7,821635
摩登时代,大时代中的人生，小人物的悲喜。,90,9.3,158607
幽灵公主,人与自然的战争史诗。,91,8.9,346856
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,92,8.8,411499
加勒比海盗,约翰尼·德普的独角戏。,93,8.7,542490
致命ID,最不可能的那个人永远是最可能的。,94,8.7,472933
断背山,每个人心中都有一座断背山。,95,8.8,465806
阳光灿烂的日子,一场华丽的意淫。,96,8.8,393375
喜剧之王,我是一个演员。,97,8.7,543033
重庆森林,寂寞没有期限。,98,8.7,489790
第六感,深入内心的恐怖，出人意料的结局。,99,8.8,338455
狩猎,人言可畏。,100,9.1,205322
玛丽和马克思,你是我最好的朋友，你是我唯一的朋友 。,101,8.9,297756
消失的爱人,年度最佳date movie。,102,8.7,548127
小森林 夏秋篇,那些静得只能听见呼吸的日子里，你明白孤独即生活。,103,9.0,239555
杀人回忆,关于连环杀人悬案的集体回忆。,104,8.8,358724
告白,没有一人完全善，也没有一人完全恶。,105,8.7,482923
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,106,8.8,349355
海蒂和爷爷,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,107,9.2,163608
大鱼,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,108,8.8,362155
一一,我们都曾经是一一。,109,9.0,217289
爱在黎明破晓前,缘分是个连绵词，最美不过一瞬。,110,8.8,342078
阳光姐妹淘,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,111,8.8,393656
射雕英雄传之东成西就,百看不厌。 ,112,8.7,399714
侧耳倾听,少女情怀总是诗。,113,8.9,269458
红辣椒,梦的勾结。,114,9.0,223737
甜蜜蜜,相逢只要一瞬间，等待却像是一辈子。,115,8.8,318319
7号房的礼物,《我是山姆》的《美丽人生》。,116,8.8,295128
倩女幽魂,两张绝世的脸。 ,117,8.7,420370
驯龙高手,和谐的生活离不开摸头与被摸头。,118,8.7,458053
超脱,穷尽一生，我们要学会的，不过是彼此拥抱。,119,8.8,269966
哈利·波特与死亡圣器(下),10年的完美句点。,120,8.8,429165
小森林 冬春篇,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,121,9.0,207606
恐怖直播,恐怖分子的“秋菊打官司”。,122,8.8,367852
菊次郎的夏天,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,123,8.8,300171
爱在日落黄昏时,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,124,8.8,298355
蝙蝠侠：黑暗骑士崛起,诺兰就是保证。,125,8.7,434701
萤火之森,触不到的恋人。,126,8.8,278587
幸福终点站,有时候幸福需要等一等。 ,127,8.8,323508
风之谷,动画片的圣经。,128,8.8,252972
唐伯虎点秋香,华太师是黄霑，吴镇宇四大才子之一。,129,8.6,579584
超能陆战队,Balalala~~~,130,8.6,594244
借东西的小人阿莉埃蒂,曾经的那段美好会沉淀为一辈子的记忆。,131,8.8,321534
上帝之城,被上帝抛弃了的上帝之城。,132,8.9,206323
神偷奶爸,Mr. I Don't Care其实也有Care的时候。,133,8.6,599661
无人知晓,我的平常生活就是他人的幸福。,134,9.1,144394
怪兽电力公司,不要给它起名字，起了名字就有感情了。,135,8.7,380440
玩具总动员3,跨度十五年的欢乐与泪水。,136,8.8,293430
电锯惊魂,真相就在眼前。,137,8.7,302921
血战钢锯岭,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,138,8.7,494283
岁月神偷,岁月流逝，来日可追。,139,8.7,406150
谍影重重3,像吃了苏打饼一样干脆的电影。,140,8.8,265381
英雄本色,英雄泪短，兄弟情长。 ,141,8.7,293490
喜宴,中国家庭的喜怒哀乐忍。,142,8.9,203735
疯狂原始人,老少皆宜，这就是好莱坞动画的魅力。,143,8.7,539507
七武士,时代悲歌。,144,9.2,113452
傲慢与偏见,爱是摈弃傲慢与偏见之后的曙光。,145,8.6,449253
时空恋旅人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,146,8.7,318757
萤火虫之墓,幸福是生生不息，却难以触及的远。 ,147,8.7,282094
东邪西毒,电影诗。,148,8.6,377960
完美的世界,坏人的好总是比好人的好来得更感人。,149,9.1,133963
真爱至上,爱，是个动词。,150,8.6,443776
贫民窟的百万富翁,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,151,8.6,510791
黑天鹅,黑暗之美。,152,8.5,566515
记忆碎片,一个针管引发的血案。,153,8.6,385971
心迷宫,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,154,8.7,287419
纵横四海,香港浪漫主义警匪动作片的巅峰之作。,155,8.8,239034
教父3,任何信念的力量，都无法改变命运。,156,8.8,201513
荒蛮故事,始于荒诞，止于更荒诞。,157,8.8,235959
被解救的姜戈,热血沸腾，那个低俗、性感的无耻混蛋又来了。,158,8.7,373912
三块广告牌,怼天怼地，你走后，她与世界为敌。,159,8.7,517290
达拉斯买家俱乐部,Jared Leto的腿比女人还美！,160,8.7,275657
花样年华,偷情本没有这样美。,161,8.6,349672
雨人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,162,8.7,275586
我是山姆,爱并不需要智商 。,163,8.9,167978
哪吒闹海,想你时你在闹海。,164,9.0,139729
你的名字。,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,165,8.4,802505
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,166,8.9,167418
头脑特工队,愿我们都不用长大，每一座城堡都能永远存在。,167,8.7,355170
你看起来好像很好吃,感情不分食草或者食肉。,168,8.8,210273
海边的曼彻斯特,我们都有权利不与自己的过去和解。,169,8.6,306334
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,170,8.5,399822
无敌破坏王,迪士尼和皮克斯拿错剧本的产物。,171,8.7,320845
冰川时代,松鼠才是角儿。,172,8.5,394474
未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,173,8.9,155985
模仿游戏,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,174,8.6,370018
二十二,有一些东西不应该被遗忘。,175,8.7,178507
虎口脱险,永远看不腻的喜剧。,176,8.9,145987
天书奇谭,传奇的年代，醉人的童话。,177,9.2,101229
一个叫欧维的男人决定去死,惠及一生的美丽。,178,8.8,207791
爆裂鼓手,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,179,8.7,336341
忠犬八公物语,养狗三日，便会对你终其一生。,180,9.1,103270
雨中曲,骨灰级歌舞片。,181,9.0,129502
头号玩家,写给影迷，动漫迷和游戏迷的一封情书。,182,8.7,866067
海洋,大海啊，不全是水。,183,9.1,118854
人工智能,对爱的执着，可以超越一切。,184,8.6,268598
功夫,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,185,8.4,503380
黑客帝国3：矩阵革命,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,186,8.7,238596
燃情岁月,传奇，不是每个人都可以拥有。,187,8.8,190889
房间,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,188,8.8,239738
魔女宅急便,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,189,8.6,291560
海街日记,是枝裕和的家庭习作。,190,8.7,226277
恐怖游轮,不要企图在重复中寻找已经失去的爱。,191,8.4,478455
穿越时空的少女,爱上未来的你。 ,192,8.6,260023
魂断蓝桥,中国式内在的美国电影。,193,8.8,170163
惊魂记,故事的反转与反转，分裂电影的始祖。,194,8.9,133687
罗生门,人生的N种可能性。,195,8.8,183272
完美陌生人,来啊，互相伤害啊！,196,8.5,346255
猜火车,不可猜的青春迷笛。 ,197,8.5,313149
阿飞正传,王家卫是一种风格，张国荣是一个代表。,198,8.5,307711
香水,一个单凭体香达到高潮的男人。,199,8.5,374057
疯狂的石头,中国版《两杆大烟枪》。,200,8.4,474161
可可西里,坚硬的信仰。,201,8.7,177857
牯岭街少年杀人事件,弱者送给弱者的一刀。,202,8.8,155945
谍影重重2,谁说王家卫镜头很晃？,203,8.6,226703
奇迹男孩,世界不完美，爱会有奇迹。,204,8.6,342244
初恋这件小事,黑小鸭速效美白记。,205,8.4,659869
釜山行,揭露人性的丧尸题材力作。,206,8.4,605190
谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,207,8.6,270220
朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,208,8.5,340231
战争之王,做一颗让别人需要你的棋子。,209,8.6,232615
浪潮,世界离独裁只有五天。,210,8.7,178764
地球上的星星,天使保护事件始末。,211,8.9,126098
青蛇,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,212,8.5,315323
终结者2：审判日,少见的超越首部的续集，动作片中的经典。,213,8.7,207092
爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,214,8.8,175275
2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,215,8.8,162610
新龙门客栈,嬉笑怒骂，调风动月。,216,8.6,269881
源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,217,8.4,534128
新世界,要做就做得狠一点，这样才能活下去。,218,8.7,165275
步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,219,8.8,147627
无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,220,8.5,305691
小萝莉的猴神大叔,宝莱坞的萝莉与大叔。,221,8.4,288111
绿里奇迹,天使暂时离开。,222,8.8,155479
再次出发之纽约遇见你,爱我就给我看你的播放列表。,223,8.5,256049
追随,诺兰的牛逼来源于内心散发出的恐惧。,224,8.9,112501
一次别离,只有有信仰的人才能说出事实真相。,225,8.7,173418
血钻,每个美丽事物背后都是滴血的现实。,226,8.6,206608
彗星来的那一夜,小成本大魅力。,227,8.5,291569
城市之光,永远的小人物，伟大的卓别林。,228,9.3,68456
东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,229,9.2,76190
疯狂的麦克斯4：狂暴之路,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,230,8.6,311326
撞车,天使与魔鬼的冲撞。,231,8.6,225076
哈利·波特与阿兹卡班的囚徒,不一样的导演，不一样的哈利·波特。,232,8.5,283062
梦之安魂曲,一场没有春天的噩梦。,233,8.7,148791
聚焦,新闻人的理性求真。,234,8.8,178987
哈利·波特与密室,魔法的密室之门已打开...,235,8.5,302026
发条橙,我完全康复了。,236,8.5,250700
遗愿清单,用剩余不多的时间，去燃烧整个生命。,237,8.6,202988
黑鹰坠落,还原真实而残酷的战争。,238,8.6,176970
E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,239,8.6,219193
绿皮书,生病的E.T.皮肤的颜色就像柿子饼。,240,8.9,817917
这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,241,8.5,252057
末路狂花,没有了退路，只好飞向自由。,242,8.7,142657
驴得水,过去的如果就让它过去了，未来只会越来越糟！,243,8.3,530684
我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,244,9.0,88962
变脸,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,245,8.5,281039
千钧一发,一部能引人思考的科幻励志片。,246,8.7,138239
国王的演讲,皇上无话儿。,247,8.4,448197
勇闯夺命岛,类型片的极致。 ,248,8.6,187964
黄金三镖客,最棒的西部片。,249,9.1,74055
非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,250,8.6,169590
